Place,TmPl,Name,Class,School,Type,2k,2k_Place,2k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,2k_Sec,5k_Sec,8k_Sec,Finish_Sec
208,175,Bradley Lowry,SR,Texas,Team,6:04,226,191,15:41,209,174,25:32,199,164,32:23.9,Indiana State,364,941,1532,1944
209,176,Carl Mackenzie,JR,Villanova,Team,6:00,175,144,15:28,158,128,25:26,188,153,32:24.2,Indiana State,360,928,1526,1944
210,177,Cameron Clayton,JR,Colorado,Team,5:59,166,137,15:46,211,176,25:46,220,185,32:24.8,Indiana State,359,946,1546,1945
211,178,Jon Kotter,SR,BYU,Team,6:03,216,181,15:47,214,179,25:45,218,183,32:27.7,Indiana State,363,947,1545,1948
212,179,Danny Pawola,SO,Penn State,Team,5:59,164,135,15:40,199,165,25:36,210,175,32:28.7,Indiana State,359,940,1536,1949
213,180,Chris Cipro,JR,Penn State,Team,6:00,178,147,15:50,220,185,25:44,217,182,32:30.1,Indiana State,360,950,1544,1950
214,181,Matthew Gibney,JR,Villanova,Team,5:58,147,120,15:34,173,139,25:33,201,166,32:30.6,Indiana State,358,934,1533,1951
215,182,Craig Hopkins,JR,Portland,Team,6:04,230,195,15:50,226,191,25:45,219,184,32:31.5,Indiana State,364,950,1545,1952
216,183,Luke Lovelace,JR,Louisville,Team,6:05,236,201,15:48,216,181,25:52,224,189,32:33.1,Indiana State,365,948,1552,1953
217,184,Walter Schafer,FR,Notre Dame,Team,5:57,129,107,15:37,188,154,25:44,216,181,32:33.2,Indiana State,357,937,1544,1953
218,185,Nate Morrow,SO,Indiana,Team,6:02,205,171,15:50,222,187,25:48,222,187,32:34.2,Indiana State,362,950,1548,1954
219,186,Chris York,SO,Richmond,Team,6:04,231,196,15:56,232,197,25:55,225,190,32:34.5,Indiana State,364,956,1555,1955
220,187,Cody Schmidt,SO,California,Team,6:01,188,156,15:38,192,158,25:40,214,179,32:36.0,Indiana State,361,938,1540,1956
221,188,Craig Murphy,SO,Iona,Team,5:59,165,136,15:34,177,143,25:41,215,180,32:36.9,Indiana State,359,934,1541,1957
222,189,Ryan Foster,SR,Penn State,Team,6:00,180,149,15:47,213,178,25:56,226,191,32:47.6,Indiana State,360,947,1556,1968
223,190,Mike McFarland,SR,Minnesota,Team,6:04,233,198,16:07,236,200,26:10,232,197,32:51.3,Indiana State,364,967,1570,1971
224,191,Maxime Chevee,JR,California,Team,6:00,177,146,15:34,180,146,25:36,209,174,32:52.0,Indiana State,360,934,1536,1972
225,192,Levi Grandt,JR,Richmond,Team,6:08,242,206,16:16,243,207,26:09,231,196,32:52.2,Indiana State,368,976,1569,1972
226,193,Nick Scarpello,FR,Penn State,Team,6:09,243,207,16:13,239,203,26:14,234,199,32:53.0,Indiana State,369,973,1574,1973
227,194,Ryan McDermott,SR,Duke,Team,6:02,206,172,15:50,223,188,26:00,228,193,32:55.9,Indiana State,362,950,1560,1976
228,195,Simon Schmidt,SO,California,Team,6:01,189,157,15:50,221,186,26:09,230,195,32:57.0,Indiana State,361,950,1569,1977
229,196,Matt Terry,JR,Providence,Team,6:00,179,148,15:39,196,162,25:52,223,188,32:57.1,Indiana State,360,939,1552,1977
230,197,Sean Olson,JR,Minnesota,Team,6:04,232,197,15:52,227,192,25:56,227,192,32:58.1,Indiana State,364,952,1556,1978
231,198,Gordon Dooley,JR,Louisville,Team,6:04,234,199,16:07,237,201,26:15,236,200,32:59.0,Indiana State,364,967,1575,1979
232,199,Ahmed Ali,SO,Providence,Team,6:03,218,183,16:06,234,198,26:14,233,198,32:59.7,Indiana State,363,966,1574,1980
233,,Don Wasinger,JR,Kansas,Individual,5:57,130,,15:59,233,,26:15,235,,33:02.7,Indiana State,357,959,1575,1983
234,200,Matt Biegner,SO,Colorado,Team,6:05,237,202,16:07,238,202,26:17,237,201,33:03.0,Indiana State,365,967,1577,1983
235,201,Bobby Peavey,FR,Georgetown,Team,6:03,219,184,15:55,230,195,26:18,239,203,33:07.5,Indiana State,363,955,1578,1988
236,202,Mattias Wolter,FR,Louisville,Team,6:07,240,204,16:15,242,206,26:23,240,204,33:08.1,Indiana State,367,975,1583,1988
237,203,Matt Frerker,JR,Portland,Team,6:03,217,182,15:50,225,190,26:07,229,194,33:09.1,Indiana State,363,950,1567,1989
238,,Daniel Chenoweth,SR,Harvard,Individual,5:54,69,,15:06,35,,24:11,32,,33:20.3,Indiana State,354,906,1451,2000
239,204,Miles Unterreiner,SO,Stanford,Team,5:56,115,95,15:56,231,196,26:32,241,205,33:29.5,Indiana State,356,956,1592,2010
240,205,Ryan Eaton,FR,Louisville,Team,6:07,241,205,16:15,241,205,26:32,242,206,33:34.3,Indiana State,367,975,1592,2014
241,206,Steve Sodaro,SR,California,Team,5:59,167,138,15:54,228,193,26:18,238,202,33:34.7,Indiana State,359,954,1578,2015
242,,Josh McCabe,JR,Utah Valley,Individual,6:02,198,,15:28,160,,25:12,167,,33:42.3,Indiana State,362,928,1512,2022
243,207,Francis Hernandez,FR,Providence,Team,6:04,235,200,16:35,244,208,27:37,245,209,35:01.1,Indiana State,364,995,1657,2101
244,208,Zach Vrhovac,FR,Virginia,Team,6:01,190,158,16:15,240,204,27:23,243,207,35:20.4,Indiana State,361,975,1643,2120
245,209,Nathan Corder,JR,Alabama,Team,6:10,246,210,16:52,246,210,28:04,246,210,35:28.0,Indiana State,370,1012,1684,2128
246,210,Jason Skipper,SO,Richmond,Team,6:10,245,209,16:35,245,209,27:37,244,208,36:45.2,Indiana State,370,995,1657,2205
